filename,cell_number,center_x,center_y,diameter_pixels,diameter_um
TIM1.jpg,1,1008,324,134,136.52
TIM1.jpg,2,738,256,122,124.29
TIM1.jpg,3,462,872,120,122.26
TIM1.jpg,4,172,292,104,105.96
TIM1.jpg,5,1094,498,120,122.26
TIM1.jpg,6,172,606,120,122.26
TIM1.jpg,7,1154,690,112,114.11
TIM1.jpg,8,612,250,84,85.58
TIM1.jpg,9,868,214,82,83.54
TIM1.jpg,10,1154,302,96,97.81
TIM1.jpg,11,826,328,108,110.03
TIM1.jpg,12,302,294,108,110.03
TIM1.jpg,13,1228,462,110,112.07
TIM1.jpg,14,790,578,108,110.03
TIM1.jpg,15,1206,888,116,118.18
TIM1.jpg,16,922,884,112,114.11
TIM1.jpg,17,1272,568,108,110.03
TIM1.jpg,18,688,414,108,110.03
TIM1.jpg,19,986,172,92,93.73
TIM1.jpg,20,480,80,94,95.77
TIM1.jpg,21,130,716,118,120.22
TIM1.jpg,22,416,520,112,114.11
TIM1.jpg,23,1104,1000,108,110.03
TIM1.jpg,24,72,76,86,87.62
TIM1.jpg,25,430,420,84,85.58
TIM1.jpg,26,796,760,84,85.58
TIM1.jpg,27,898,526,88,89.65
TIM1.jpg,28,770,860,86,87.62
TIM1.jpg,29,258,524,118,120.22
TIM1.jpg,30,248,754,100,101.88
TIM1.jpg,31,614,978,100,101.88
TIM1.jpg,32,1326,418,106,107.99
TIM1.jpg,33,104,856,84,85.58
TIM1.jpg,34,598,578,112,114.11
TIM1.jpg,35,520,448,96,97.81
TIM1.jpg,36,998,808,94,95.77
TIM1.jpg,37,822,92,90,91.69
TIM1.jpg,38,232,376,94,95.77
TIM1.jpg,39,614,30,106,107.99
TIM1.jpg,40,570,860,92,93.73
TIM1.jpg,41,736,686,80,81.50
TIM1.jpg,42,348,92,76,77.43
TIM1.jpg,43,208,912,94,95.77
TIM1.jpg,44,480,744,84,85.58
TIM1.jpg,45,354,866,106,107.99
TIM1.jpg,46,416,1010,132,134.48
TIM1.jpg,47,848,828,80,81.50
TIM1.jpg,48,406,782,106,107.99
TIM1.jpg,49,318,960,66,67.24
TIM1.jpg,50,528,1014,92,93.73
TIM1.jpg,51,26,898,104,105.96
TIM1.jpg,52,1342,968,84,86.03
TIM1.jpg,53,980,1026,126,128.37
TIM1.jpg,54,1338,186,92,93.73
TIM1.jpg,55,988,616,110,112.07
TIM1.jpg,56,272,164,92,93.73
TIM1.jpg,57,36,788,86,87.62
TIM1.jpg,58,704,918,80,81.50
TIM1.jpg,59,922,762,82,83.54
TIM1.jpg,60,462,242,80,81.50
TIM1.jpg,61,720,84,120,122.26
TIM1.jpg,62,848,942,80,81.50
TIM1.jpg,63,30,690,98,99.84
TIM1.jpg,64,1210,1040,86,87.62
TIM1.jpg,65,842,1020,82,83.54
